Date_Last_Modified,Name,Icon,Lat,Lon,Link1,Freq1,Offset1,Tone1,OnAir1,Mode1,Link2,Freq2,Offset2,Tone2,OnAir2,Mode2,Link3,Freq3,Offset3,Tone3,OnAir3,Mode3,Link4,Freq4,Offset4,Tone4,OnAir4,Mode4,Link5,Freq5,Offset5,Tone5,OnAir5,Mode5
"2026-01-19","N3AUY","repeater_gray","38.99","-77.03","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=181","449.025000","-","156.7","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=182","449.025000","-","156.7","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=10922","29.660000","-","141.3","Yes","FM","","","","","","","","","","","",""
"2026-01-19","N3CDY","repeater_gray","39.40","-76.60","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=188","449.275000","-","107.2","Yes","FM P-25","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=204","927.512500","-","156.7","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=20842","449.075000","-","","Yes","DMR","","","","","","","","","","","",""
"2026-01-19","K3UQQ","repeater_gray","39.10","-76.85","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=201","923.250000","s","","Yes","ATV","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3YVV","repeater_gray","39.24","-76.99","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=205","927.537500","-","156.7","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3ITA","repeater_gray","39.49390030","-77.49900055","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=3782","442.800000","+","79.7","Yes","FM P-25","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KB3AVZ","repeater_gray","39.41","-79.41","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=6817","444.275000","+","110.9","Yes","FM","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=10978","146.700000","-","173.8","Yes","FM","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3AGB","repeater_gray","39.14469910","-76.98629761","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=10924","53.250000","-","100.0","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3KTX","repeater_gray","39.49","-77.50","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=10926","53.470000","-","107.2","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3OR","repeater_gray","37.99652100","-75.85217285","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=11845","145.130000","-","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=23541","145.320000","-","","Yes","FM","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3RCC","repeater_gray","38.38999939","-75.16359711","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=11861","145.190000","-","179.9","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W4ATN","repeater_gray","38.87797230","-76.83173250","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=12689","443.787500","+","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=21543","443.800000","+","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=23542","145.390000","-","","Yes","FM","","","","","","","","","","","",""
"2026-01-19","N3JFW","repeater_gray","39.08","-77.15","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=12690","442.487500","+","","Yes","DMR","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3RIC","repeater_gray","38.36","-75.60","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=13565","444.050000","+","","Yes","FM Fusion","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3UCB","repeater_gray","39.15","-77.01","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=13836","442.237500","+","","Yes","DMR","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KC3APF","repeater_gray","39.24470139","-76.49909973","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=13898","448.675000","-","91.5","Yes","FM Fusion WIRES-X","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3EJT","repeater_gray","39.42","-76.78","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=13955","147.195000","+","179.9","Yes","DMR","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KC3FOQ","repeater_gray","38.27036000","-76.60574000","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=14366","443.300000","+","123.0","Yes","FM Fusion","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=14947","147.390000","+","123.0","Yes","FM Fusion","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3YMS","repeater_gray","38.28369904","-75.65609741","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=14367","441.887500","+","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=19546","441.662500","+","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=19547","441.912500","+","","No","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=19802","442.537500","+","","Yes","DMR","","","","","",""
"2026-01-19","N3SCP","repeater_gray","39.03790600","-76.67153200","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=15151","442.550000","+","107.2","Yes","FM Fusion WIRES-X","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KB3FN","repeater_gray","39.65","-78.76","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=15852","147.165000","+","","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3SMD","repeater_gray","38.52579880","-76.61689758","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=15925","223.900000","-","186.2","Yes","FM AllStar","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KB3VJO","repeater_gray","39.70","-78.57","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=16477","443.900000","+","","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","W3PQS","repeater_gray","38.55959190","-76.59617260","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=16983","53.170000","-","100.0","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KB3WHR","repeater_gray","39.54","-76.35","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=17080","449.612500","-","","Yes","DMR","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3HIA","repeater_gray","39.41850000","-76.32840000","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=17435","224.480000","-","100.0","Yes","FM EchoLink","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","WR3IRS","repeater_gray","39.55","-76.11","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=17436","443.650000","+","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=17528","441.400000","+","","Yes","DMR","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3DO","repeater_gray","39.49460899","-77.49884586","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=17491","441.962500","+","","Yes","DMR DSTAR","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","NW2M","repeater_gray","38.39","-75.15","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=18226","146.955000","-","114.8","Yes","FM Fusion","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3PPH","repeater_gray","38.39805600","-76.63083300","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=18735","441.787500","+","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=18955","441.637500","+","","No","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=21394","441.387500","+","","Yes","DMR","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=22875","145.350000","-","156.7","Yes","FM","","","","","",""
"2026-01-19","W3DAK","repeater_gray","39.34","-76.46","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=19545","447.375000","-","67.0","Yes","FM EchoLink","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3TUK","repeater_gray","39.00","-76.97","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=19549","443.662500","+","","Yes","AllStar DMR","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","N3LPV","repeater_gray","39.16","-76.62","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=20122","146.565000","s","","Yes","FM EchoLink","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KC3TWN","repeater_gray","39.38","-77.15","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=20717","448.575000","-","69.3","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","WG3K","repeater_gray","38.62601990","-76.51977700","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=21240","444.350000","+","","Yes","DSTAR","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","K3HP","repeater_gray","39.41","-77.41","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=21397","145.250000","-","146.2","No","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","KC3BFB","repeater_gray","38.71","-77.02","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=21400","146.715000","-","110.9","Yes","FM","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-01-19","K2SHF","repeater_gray","39.55134100","-76.35680900","https://www.repeaterbook.com/repeaters/details.php?state_id=24&ID=21403","145.670000","x","77.0","Yes","AllStar","","","","","","","","","","","","","","","","","","","","","","","",""
